AGID	peptide_target	gene_name	antibody_origin	source	catalog_number	validation_status	gene_id
AGID00116	DVL3	DVL3	Rabbit	CST	3218	Valid	ENSG00000161202.20
AGID00211	E2F1	E2F1	Mouse	Santa Cruz	sc-251	Valid	ENSG00000101412.13
AGID00148	ECADHERIN	CDH1	Rabbit	CST	3195	Valid	ENSG00000039068.19
AGID00135	EEF2	EEF2	Rabbit	CST	2332	Caution	ENSG00000167658.16
AGID00136	EEF2K	EEF2K	Rabbit	CST	3692	Valid	ENSG00000103319.12
AGID00152	EGFR	EGFR	Rabbit	CST	2232	Valid	ENSG00000146648.19
AGID00450	EGFR_pY1068	EGFR	Rabbit	CST	2234	Caution	ENSG00000146648.19
AGID00026	EGFR_pY1173	EGFR	Rabbit	Epitomics/Abcam	1124-1/ab32578	Valid	ENSG00000146648.19
AGID00078	EIF4E	EIF4E	Rabbit	CST	9742	Valid	ENSG00000151247.12
AGID00328	eIF4E_pS209	EIF4E	Rabbit	Abcam	ab76256	Valid	ENSG00000151247.12
AGID00154	EIF4G	EIF4G1	Rabbit	CST	2498	Caution	ENSG00000114867.22
AGID00027	Elk1_pS383	ELK1	Rabbit	CST	9181	Caution	ENSG00000126767.18
AGID00235	EMA	MUC1	Mouse	DAKO	M061329-2	Caution	ENSG00000185499.16
AGID00394	Enolase-1	ENO1	Rabbit	CST	3810	Valid	ENSG00000074800.16
AGID00395	Enolase-2	ENO2	Rabbit	CST	8171	Valid	ENSG00000111674.9
AGID00196	ENY2	ENY2	Mouse	GeneTex	GTX629542	Caution	ENSG00000120533.13
AGID00438	EphA2	EPHA2	Rabbit	Bethyl	A302-024A	Valid	ENSG00000142627.13
AGID00552	EphA2_pS897	EPHA2	Rabbit	CST	6347	Caution	ENSG00000142627.13
AGID00553	EphA2_pY588	EPHA2	Rabbit	CST	12677	Caution	ENSG00000142627.13
AGID00075	EPPK1	EPPK1	Mouse	BD Biosciences	556347	Caution	ENSG00000261150.3
AGID00335	ERALPHA	ESR1	Rabbit	Lab Vision/ThermoFisher	RM-9101	Valid	ENSG00000091831.24
AGID00029	ERALPHA_pS118	ESR1	Rabbit	Epitomics/Abcam	1091-1/ab32396	Valid	ENSG00000091831.24
AGID00240	ERCC1	ERCC1	Mouse	Lab Vision	MS-671	Valid	ENSG00000012061.16
AGID00239	ERCC5	ERCC5	Rabbit	Proteintech Group	11331-1-AP	Caution	ENSG00000134899.23
AGID00484	ERK2	MAPK1	Rabbit	Santa Cruz	sc-154	Under Evaluation	ENSG00000100030.15
AGID00372	Erk5	MAPK7	Rabbit	CST	3552	Valid	ENSG00000166484.20
AGID00405	ERRalpha	ESRRA	Rabbit	CST	13826	Valid	ENSG00000173153.17
AGID00187	ETS1	ETS1	Rabbit	Bethyl	A303-501A	Valid	ENSG00000134954.14
AGID00511	EVI1	MECOM	Rabbit	CST	2593	Valid	ENSG00000085276.19
AGID00485	EZH2	EZH2	Rabbit	CST	4905	Caution	ENSG00000106462.11
AGID00030	FAK	PTK2	Rabbit	Epitomics/Abcam	1700-1/ab40794	Caution	ENSG00000169398.19
AGID02151	FAK_pY397	PTK2	Rabbit	CST	8556	Valid	ENSG00000169398.19
AGID00171	FASN	FASN	Rabbit	CST	3180	Valid	ENSG00000169710.9
AGID00356	FGF-basic	FGF2	Rabbit	Peprotech/VWR	500-P18/10775-082	Caution	ENSG00000138685.17
AGID00031	FIBRONECTIN	FN1	Rabbit	Epitomics/Abcam	1574-1/ab45688	Valid	ENSG00000115414.21
